"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"463","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2223,"Les Misérables (1862), Victor Hugo",1862,1934,72
"464","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2258,"Les Misérables (1862), Victor Hugo",1862,2019,157
"465","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2211,"Les Misérables (1862), Victor Hugo",1862,1909,47
"466","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2224,"Les Misérables (1862), Victor Hugo",1862,1935,73
"467","Let Me In",160,"Let Me In",27093592,12134935,"44.8%","$14,958,657","55.2%",2010,2040,"Let the Right One In (Swedish: Låt den rätte komma in) (2004), John Ajvide Lindqvist",2004,2010,6
"468","Life of Pi",11,"Life of Pi",609016565,124987023,"20.5%","$484,029,542","79.5%",2012,2047,"Life of Pi  (2001), Yann Martel",2001,2012,11
"469","Lifeforce",71,"Lifeforce",11603545,11603545,"100%","-","-",1985,2978,"The Space Vampires (1976), Colin Wilson",1976,1985,9
"470","Like Water for Chocolate",71,"Like Water for Chocolate",21665468,21665468,"100%","-","-",1993,2055,"Like Water for Chocolate (Spanish: Como agua para chocolate) (1989), Laura Esquivel",1989,1992,3
"471","Limitless",46,"Limitless",161849455,79249455,"49%","$82,600,000","51%",2011,755,"The Dark Fields (2001), Alan Glynn",2001,2011,10
"472","Little Dorrit",173,"Little Dorrit",1025228,1025228,"100%","-","-",1988,2081,"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens",1855,1913,58
"473","Little Dorrit",173,"Little Dorrit",1025228,1025228,"100%","-","-",1988,2082,"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens",1855,1920,65
"474","Little Dorrit",173,"Little Dorrit",1025228,1025228,"100%","-","-",1988,2083,"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens",1855,1934,79
"475","Little Dorrit",173,"Little Dorrit",1025228,1025228,"100%","-","-",1988,2084,"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens",1855,1987,132
"476","Live Flesh",194,"Live Flesh",1713459,1713459,"100%","-","-",1998,2088,"Live Flesh (1986), Ruth Rendell",1986,1997,11
"477","Lord of the Flies",85,"Lord of the Flies",13985225,13985225,"100%","-","-",1990,2106,"Lord of the Flies (1954), William Golding",1954,1963,9
"478","Lord of the Flies",85,"Lord of the Flies",13985225,13985225,"100%","-","-",1990,2108,"Lord of the Flies (1954), William Golding",1954,1990,36
"479","Love Letters",109,"Love Letters",5269990,5269990,"100%","-","-",1984,2563,"Pity My Simplicity (1944), Christopher Massie",1944,1945,1
"480","Man on Fire",41,"Man on Fire",130834852,77911774,"59.5%","$52,923,078","40.5%",2004,2150,"Man on Fire (1980), A. J. Quinnell",1980,2004,24
"481","Man on Fire",41,"Man on Fire",130834852,77911774,"59.5%","$52,923,078","40.5%",2004,2149,"Man on Fire (1980), A. J. Quinnell",1980,1987,7
"482","Man on Fire",196,"Man on Fire",519596,519596,"100%","-","-",1987,2150,"Man on Fire (1980), A. J. Quinnell",1980,2004,24
"483","Man on Fire",196,"Man on Fire",519596,519596,"100%","-","-",1987,2149,"Man on Fire (1980), A. J. Quinnell",1980,1987,7
"484","Manhunter",76,"Manhunter",8621544,8620929,"100%","-","-",1986,2694,"Red Dragon (1981), Thomas Harris",1981,1986,5
"485","Mary Poppins Returns",31,"Mary Poppins Returns",349537494,171958438,"49.2%","$177,579,056","50.8%",2018,2168,"Mary Poppins (1934–1988) (series), P. L. Travers",1934,2018,84
"486","Matilda",45,"Matilda",33462123,33459416,"100%","-","-",1996,2172,"Matilda (1970), Paul Gallico",1970,1978,8
"487","Maurice",141,"Maurice",2439061,2438304,"100%","-","-",1987,2173,"Maurice (1971), E. M. Forster",1971,1987,16
"488","Memoirs of an Invisible Man",80,"Memoirs of an Invisible Man",14358033,14358033,"100%","-","-",1992,2182,"Memoirs of an Invisible Man (1987), H.F. Saint",1987,1992,5
"489","Memory",145,"Memory",13240559,7329043,"55.4%","$5,911,516","44.6%",2022,137,"The Alzheimer Case (Dutch: De zaak Alzheimer) (2000), Jef Geeraerts",2000,2022,22
"490","Mercury Rising",38,"Mercury Rising",93107289,32935289,"35.4%","$60,172,000","64.6%",1998,2933,"Simple Simon (1996), Ryne Douglas Pearson",1996,1998,2
"491","Message in a Bottle",33,"Message in a Bottle",118880016,52880016,"44.5%","$66,000,000","55.5%",1999,2190,"Message in a Bottle (1998), Nicholas Sparks",1998,1999,1
"492","Millennium",108,"Millennium",5777099,5777099,"100%","-","-",1989,2199,"Millennium (1983), John Varley",1983,1989,6
"493","Misery",19,"Misery",61276872,61276872,"100%","-","-",1990,2259,"Misery (1987), Stephen King",1987,1990,3
"494","Monte Carlo",132,"Monte Carlo",39782683,23186769,"58.3%","$16,595,914","41.7%",2011,1546,"Headhunters (2001), Jules Bass",2001,2011,10
"495","Moonraker",9,"Moonraker",70308533,70308099,"100%","-","-",1979,2278,"Moonraker (1955), Ian Fleming",1955,1979,24
"496","Mountains of the Moon",133,"Mountains of the Moon",4011793,4011793,"100%","-","-",1990,530,"Burton and Speke (1982), William Harrison",1982,1990,8
"497","Mrs. Doubtfire",2,"Mrs. Doubtfire",219196147,219195243,"100%","-","-",1993,2135,"Madame Doubtfire (1987), Anne Fine",1987,1994,7
"498","Munich",36,"Munich",130982129,47403685,"36.2%","$83,578,444","63.8%",2005,3387,"Vengeance (1984),[3]George Jonas",1984,2005,21
"499","Muppet Treasure Island",44,"Muppet Treasure Island",34327766,34327391,"100%","-","-",1996,3304,"Treasure Island (1883), Robert Louis Stevenson",1883,1996,113
"500","Murder on the Orient Express",26,"Murder on the Orient Express",352789811,102826543,"29.1%","$249,963,268","70.9%",2017,2304,"Murder on the Orient Express (1934), Agatha Christie",1934,2017,83
"501","Murder on the Orient Express",26,"Murder on the Orient Express",352789811,102826543,"29.1%","$249,963,268","70.9%",2017,2302,"Murder on the Orient Express (1934), Agatha Christie",1934,1974,40
"502","Murder on the Orient Express",26,"Murder on the Orient Express",352789811,102826543,"29.1%","$249,963,268","70.9%",2017,2303,"Murder on the Orient Express (1934), Agatha Christie",1934,2001,67
"503","Murphy's Romance",29,"Murphy's Romance",30867525,30867525,"100%","-","-",1985,2305,"Murphy's Romance: A Novel (1980), Max Schott",1980,1985,5
"504","Mystic River",38,"Mystic River",156595191,90135191,"57.6%","$66,460,000","42.4%",2003,2330,"Mystic River (2001), Dennis Lehane",2001,2003,2
"505","Naked Lunch",142,"Naked Lunch",2665810,2641357,"99.1%","$24,453","0.9%",1991,2334,"Naked Lunch (1959), William S. Burroughs",1959,1991,32
"506","Nanny McPhee",39,"Nanny McPhee",123276807,47144110,"38.2%","$76,132,697","61.8%",2005,2392,"Nurse Matilda (1964–1974) (series), Christianna Brand",1964,2005,41
"507","Never Cry Wolf",24,"Never Cry Wolf",29600000,29600000,"100%","-","-",1983,2347,"Never Cry Wolf (1963), Farley Mowat",1963,1983,20
"508","Never Say Never Again",14,"Never Say Never Again",55433185,55432841,"100%","-","-",1983,3249,"Thunderball (1961), Ian Fleming",1961,1983,22
"509","News of the World",93,"News of the World",12668325,12668325,"100%","-","-",2020,2351,"News of the World (2016), Paulette Jiles",2016,2020,4
"510","Night and the City",110,"Night and the City",6202957,6202756,"100%","-","-",1992,2356,"Night and the City (1938), Gerald Kersh",1938,1950,12
"511","Night and the City",110,"Night and the City",6202957,6202756,"100%","-","-",1992,2357,"Night and the City (1938), Gerald Kersh",1938,1992,54
"512","Nightmare Alley",78,"Nightmare Alley",39629195,11338107,"28.6%","$28,291,088","71.4%",2021,2367,"Nightmare Alley (1946), William Lindsay Gresham",1946,1947,1
"513","Nightmare Alley",78,"Nightmare Alley",39629195,11338107,"28.6%","$28,291,088","71.4%",2021,2368,"Nightmare Alley (1946), William Lindsay Gresham",1946,2021,75
"514","Nights in Rodanthe",72,"Nights in Rodanthe",84375346,41850659,"49.6%","$42,524,687","50.4%",2008,2369,"Nights in Rodanthe (2002), Nicholas Sparks",2002,2008,6
"515","No Country for Old Men",32,"No Country for Old Men",171627166,74283625,"43.3%","$97,343,541","56.7%",2007,2379,"No Country for Old Men (2005), Cormac McCarthy",2005,2007,2
"516","No Escape",92,"No Escape",15339030,15339030,"100%","-","-",1994,2494,"The Penal Colony (1987), Richard Herley",1987,1994,7
"517","No Escape",122,"No Escape",54418872,27288872,"50.1%","$27,130,000","49.9%",2015,2494,"The Penal Colony (1987), Richard Herley",1987,1994,7
"518","No Way Out",33,"No Way Out",35509515,35509515,"100%","-","-",1987,369,"The Big Clock (1946), Kenneth Fearing",1946,1987,41
"519","Nosferatu",31,"Nosferatu",181764515,95608235,"52.6%","$86,156,280","47.4%",2024,1049,"Dracula (1897), Bram Stoker",1897,2024,127
"520","Nosferatu",31,"Nosferatu",181764515,95608235,"52.6%","$86,156,280","47.4%",2024,941,"Dracula (1897), Bram Stoker",1897,1922,25
"521","Of Mice and Men",114,"Of Mice and Men",5471088,5471088,"100%","-","-",1992,2406,"Of Mice and Men (1937), John Steinbeck",1937,1939,2
"522","Of Mice and Men",114,"Of Mice and Men",5471088,5471088,"100%","-","-",1992,2407,"Of Mice and Men (1937), John Steinbeck",1937,1981,44
"523","Of Mice and Men",114,"Of Mice and Men",5471088,5471088,"100%","-","-",1992,2408,"Of Mice and Men (1937), John Steinbeck",1937,1992,55
"524","Oliver & Company",17,"Oliver & Company",53279055,53279055,"100%","-","-",1988,2435,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1988,151
"525","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2433,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1982,145
"526","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2429,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1948,111
"527","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2424,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1912,75
"528","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2434,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1982,145
"529","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2439,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,2005,168
"530","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2425,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1916,79
"531","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2432,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1974,137
"532","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2428,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1933,96
"533","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2436,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1997,160
"534","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2423,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1912,75
"535","Oliver Twist",109,"Oliver Twist",42580321,2080321,"4.9%","$40,500,000","95.1%",2005,2427,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",1837,1922,85
"536","One for the Money",138,"One for the Money",38080789,26414527,"69.4%","$11,666,262","30.6%",2011,2445,"One for the Money (1994), Janet Evanovich",1994,2011,17
"537","Open Range",75,"Open Range",68296293,58331254,"85.4%","$9,965,039","14.6%",2003,2462,"The Open Range Men (1990), Lauran Paine",1990,2003,13
"538","Ordinary People",11,"Ordinary People",54766923,54766923,"100%","-","-",1980,2464,"Ordinary People (1976), Judith Guest",1976,1980,4
"539","Original Sin",95,"Original Sin",35402320,16534221,"46.7%","$18,868,099","53.3%",2001,3430,"Waltz into Darkness (1947), Cornell Woolrich[N 15]",1947,2001,54
"540","Orlando",141,"Orlando",5337314,5319445,"99.7%","$17,869","0.3%",1993,2465,"Orlando: A Biography (1928), Virginia Woolf",1928,1992,64
"541","Out of Sight",44,"Out of Sight",77745568,37562568,"48.3%","$40,183,000","51.7%",1998,2473,"Out of Sight (1996), Elmore Leonard",1996,1998,2
"542","Oz the Great and Powerful",13,"Oz the Great and Powerful",493311825,234911825,"47.6%","$258,400,000","52.4%",2013,3611,"The Wonderful Wizard of Oz (1900), L. Frank Baum",1900,2013,113
"543","Pan",58,"Pan",128988320,35088320,"27.2%","$93,900,000","72.8%",2015,2519,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,2015,104
"544","Patriot Games",14,"Patriot Games",83351587,83351587,"100%","-","-",1992,2491,"Patriot Games (1987), Tom Clancy",1987,1992,5
"545","Payback",25,"Payback",161626121,81526121,"50.4%","$80,100,000","49.6%",1999,1692,"The Hunter (1962), Donald E. Westlake[N 30]",1962,1999,37
"546","Percy Jackson & the Olympians: The Lightning Thief",31,"Percy Jackson & the Olympians: The Lightning Thief",226497209,88768303,"39.2%","$137,728,906","60.8%",2010,2496,"Percy Jackson & the Olympians (2005–2009) (series)[N 27], Rick Riordan",2005,2010,5
"547","Percy Jackson: Sea of Monsters",40,"Percy Jackson: Sea of Monsters",199850315,68559554,"34.3%","$131,290,761","65.7%",2013,2497,"Percy Jackson & the Olympians (2005–2009) (series)[N 27], Rick Riordan",2005,2013,8
"548","Pet Sematary",23,"Pet Sematary",57469467,57469467,"100%","-","-",1989,2501,"Pet Sematary (1983), Stephen King",1983,2019,36
"549","Pet Sematary",23,"Pet Sematary",57469467,57469467,"100%","-","-",1989,2499,"Pet Sematary (1983), Stephen King",1983,1989,6
"550","Pet Sematary",72,"Pet Sematary",113118226,54724696,"48.4%","$58,393,530","51.6%",2019,2501,"Pet Sematary (1983), Stephen King",1983,2019,36
"551","Pet Sematary",72,"Pet Sematary",113118226,54724696,"48.4%","$58,393,530","51.6%",2019,2499,"Pet Sematary (1983), Stephen King",1983,1989,6
"552","Peter Pan",48,"Peter Pan",121975011,48462608,"39.7%","$73,512,403","60.3%",2003,2505,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,1976,65
"553","Peter Pan",48,"Peter Pan",121975011,48462608,"39.7%","$73,512,403","60.3%",2003,2504,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,1953,42
"554","Peter Pan",48,"Peter Pan",121975011,48462608,"39.7%","$73,512,403","60.3%",2003,2507,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,1988,77
"555","Peter Pan",48,"Peter Pan",121975011,48462608,"39.7%","$73,512,403","60.3%",2003,2503,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,1924,13
"556","Peter Pan",48,"Peter Pan",121975011,48462608,"39.7%","$73,512,403","60.3%",2003,2510,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,2003,92
"557","Peter Pan",48,"Peter Pan",121975011,48462608,"39.7%","$73,512,403","60.3%",2003,2506,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,1987,76
"558","Piglet's Big Movie",80,"Piglet's Big Movie",62870546,23103423,"36.7%","$39,767,123","63.3%",2003,3546,"Winnie-the-Pooh (1926–1928) (series)[N 18], A.A. Milne",1926,2003,77
"559","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,60,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,2012,129
"560","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,44,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1968,85
"561","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,46,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1976,93
"562","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,63,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,2022,139
"563","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,41,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1957,74
"564","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,55,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,2002,119
"565","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,50,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1993,110
"566","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,43,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1967,84
"567","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,61,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,2019,136
"568","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,58,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,2008,125
"569","Pinocchio",178,"Pinocchio",23841090,1831718,"7.7%","$22,009,372","92.3%",2019,39,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1940,57
"570","Pinocchio",98,"Pinocchio",41314585,3675719,"8.9%","$37,638,866","91.1%",2002,60,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,2012,129
